epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,6120.5,1.00607,0.90853,1.20744,0.64129,0.45532,0.4722,0.33362,1.71313,2.01424,2.0198,0.003268,0.003268,0.003268
104,6178.83,1.01098,0.91378,1.21185,0.64098,0.45503,0.47177,0.33362,1.71226,2.01246,2.02011,0.003202,0.003202,0.003202
105,6237.58,0.99882,0.90232,1.20885,0.64311,0.45682,0.47254,0.33353,1.71285,2.01231,2.02189,0.003136,0.003136,0.003136
106,6296.11,0.99159,0.89654,1.20603,0.64316,0.45623,0.47356,0.33377,1.71334,2.01211,2.02272,0.00307,0.00307,0.00307
107,6354.6,0.9948,0.89082,1.20559,0.64448,0.45419,0.47274,0.33319,1.71437,2.01111,2.02395,0.003004,0.003004,0.003004
108,6413.34,0.99432,0.88816,1.20413,0.63969,0.46022,0.47263,0.33332,1.71474,2.0112,2.02403,0.002938,0.002938,0.002938
109,6471.91,0.99005,0.89285,1.20305,0.63969,0.46079,0.4728,0.33325,1.71555,2.01195,2.02579,0.002872,0.002872,0.002872
110,6530.32,0.98356,0.88174,1.1976,0.63722,0.46186,0.47197,0.33352,1.71556,2.01383,2.02653,0.002806,0.002806,0.002806
111,6589.28,0.98187,0.87631,1.19609,0.64249,0.46055,0.47237,0.33365,1.71589,2.01302,2.02746,0.00274,0.00274,0.00274
112,6647.73,0.97671,0.87496,1.19289,0.63697,0.4633,0.47256,0.33372,1.71598,2.01461,2.02879,0.002674,0.002674,0.002674
113,6706.26,0.97699,0.8701,1.19317,0.63656,0.46265,0.47206,0.33361,1.71544,2.01331,2.02814,0.002608,0.002608,0.002608
114,6764.81,0.9733,0.86632,1.18729,0.64252,0.46234,0.47179,0.33357,1.71562,2.01364,2.02934,0.002542,0.002542,0.002542
115,6823.32,0.97024,0.86027,1.19334,0.64341,0.4587,0.47155,0.33317,1.71544,2.01292,2.03042,0.002476,0.002476,0.002476
116,6882.57,0.9652,0.8628,1.18865,0.64707,0.45593,0.47133,0.33319,1.71546,2.01238,2.03049,0.00241,0.00241,0.00241
